iter	RMSE
0	42.96397854
1	41.72199981
2	40.59869483
3	39.56369514
4	38.57237477
5	37.67013905
6	36.82048076
7	36.04275091
8	35.30577267
9	34.59026578
10	33.96958822
11	33.37084352
12	32.82189112
13	32.31777064
14	31.84385012
15	31.3929592
16	30.96491438
17	30.61733706
18	30.27952886
19	29.95592011
20	29.66075286
21	29.36745036
22	29.12264241
23	28.89395513
24	28.65751035
25	28.44798116
26	28.28156118
27	28.11602571
28	27.9389173
29	27.79384122
30	27.65116852
31	27.52155072
32	27.40211071
33	27.30026394
34	27.20011159
35	27.10013177
36	27.01756116
37	26.93609842
38	26.8589752
39	26.79615187
40	26.73324211
41	26.66807152
42	26.60930014
43	26.54770389
44	26.49946983
45	26.45248559
46	26.400914
47	26.35967535
48	26.31882505
49	26.28125177
50	26.24777264
51	26.21337685
52	26.17937638
53	26.15430559
54	26.1244436
55	26.10075015
56	26.07776174
57	26.05989309
58	26.04181138
59	26.02131672
60	26.0020058
61	25.97155793
62	25.94824934
63	25.92950016
64	25.91705961
65	25.90031977
66	25.88449026
67	25.86554018
68	25.8516587
69	25.84258548
70	25.82655354
71	25.81501555
72	25.80463847
73	25.79129453
74	25.78261529
75	25.77307692
76	25.76329574
77	25.75381243
78	25.74386359
79	25.73484662
80	25.71959358
81	25.69853174
82	25.69061594
83	25.68415913
84	25.67633093
85	25.66331612
86	25.643488
87	25.63221906
88	25.61534913
89	25.60469691
90	25.60034184
91	25.58544436
92	25.57686931
93	25.56285244
94	25.5563015
95	25.54974745
96	25.53914904
97	25.53201152
98	25.51934437
99	25.51313223
100	25.50728239
101	25.50217478
102	25.49716552
103	25.48810328
104	25.47537911
105	25.46915905
106	25.45931861
107	25.4503368
108	25.44398911
109	25.43831586
110	25.43335665
111	25.4283016
112	25.41370522
113	25.40962562
114	25.39946423
115	25.38884409
116	25.38023444
117	25.37268383
118	25.36114349
119	25.35028886
120	25.34135268
121	25.33760707
122	25.33291319
123	25.32455275
124	25.31808661
125	25.31269877
126	25.30472034
127	25.29525757
128	25.2901947
129	25.28489048
130	25.2799568
131	25.27527561
132	25.26376237
133	25.25822559
134	25.25554422
135	25.24558277
136	25.2364584
137	25.23108794
138	25.22529782
139	25.21700264
140	25.21161799
141	25.20735353
142	25.20064153
143	25.19409687
144	25.18838657
145	25.18420537
146	25.1774697
147	25.17399377
148	25.16958606
149	25.16043935
150	25.15058365
151	25.13862416
152	25.13046836
153	25.12358849
154	25.1188436
155	25.11597749
156	25.10752126
157	25.09802734
158	25.09230146
159	25.08607279
160	25.07455242
161	25.06755983
162	25.05772455
163	25.05321795
164	25.04586888
165	25.04166967
166	25.03643384
167	25.03055585
168	25.02241134
169	25.01757545
170	25.01312415
171	25.00780378
172	24.99895487
173	24.99268429
174	24.98628065
175	24.98162747
176	24.97615157
177	24.97214673
178	24.96525398
179	24.96185064
180	24.95762865
181	24.95086347
182	24.94442701
183	24.93279929
184	24.92499325
185	24.91703889
186	24.91001012
187	24.90488095
188	24.89797951
189	24.89557488
190	24.882966
191	24.87835345
192	24.87359994
193	24.86611768
194	24.85754468
195	24.84895861
196	24.84374259
197	24.83437429
198	24.82696234
199	24.82043371
200	24.80933113
201	24.80153008
202	24.79608576
203	24.78666667
204	24.78148235
205	24.77640326
206	24.76890584
207	24.76273818
208	24.75863717
209	24.75261941
210	24.74216531
211	24.73943406
212	24.73086383
213	24.71921459
214	24.70993372
215	24.70068777
216	24.6949842
217	24.68742984
218	24.68311761
219	24.67863486
220	24.66814531
221	24.66415194
222	24.65672626
223	24.64607322
224	24.64235804
225	24.63514699
226	24.62691433
227	24.61537625
228	24.60414578
229	24.59596634
230	24.59271133
231	24.58760595
232	24.58060309
233	24.5747899
234	24.56315596
235	24.55751638
236	24.54701826
237	24.53984851
238	24.53572223
239	24.52791622
240	24.52284106
241	24.51616017
242	24.5066509
243	24.49837326
244	24.49144687
245	24.48712128
246	24.48158265
247	24.47870648
248	24.47228852
249	24.46187324
250	24.45909663
251	24.4526505
252	24.4471938
253	24.4425374
254	24.43795481
255	24.4341477
256	24.42490346
257	24.41938463
258	24.41192711
259	24.40823471
260	24.39923852
261	24.39483316
262	24.38887048
263	24.38102046
264	24.37560373
265	24.37161571
266	24.36270066
267	24.35356955
268	24.34796983
269	24.33957057
270	24.33335517
271	24.32297671
272	24.31780007
273	24.31083278
274	24.30694564
275	24.3015623
276	24.29467906
277	24.28862301
278	24.28195722
279	24.27485027
280	24.27175299
281	24.26519714
282	24.26102238
283	24.25636439
284	24.24699627
285	24.23683494
286	24.2278782
287	24.22294403
288	24.21329128
289	24.2057403
290	24.19685067
291	24.19191367
292	24.18557004
293	24.1812274
294	24.17695121
295	24.17112178
296	24.165974
297	24.15895714
298	24.1548745
299	24.1503394
300	24.14430472
301	24.14006144
302	24.13533772
303	24.12758842
304	24.12336699
305	24.11860798
306	24.11286801
307	24.10922941
308	24.10478711
309	24.10029275
310	24.09439456
311	24.08820931
312	24.08395911
313	24.07532361
314	24.06929533
315	24.06432551
316	24.05905597
